SW_ID,TYPE_C,TYPE_D,MATERIAL_C,MATERIAL_D,GeoJSON
1994,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378967.3981,4901844.9089],[378956.8621,4901858.1094],[378957.458,4901858.1094],[378957.465,4901859.9175],[378967.3981,4901847.296],[378967.3981,4901844.9089]]]}"
1995,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378394.4496,4901833.7558],[378392.3697,4901833.7807],[378392.4103,4901859.778],[378394.4203,4901859.828],[378394.4496,4901833.7558]]]}"
1999,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378609.5687,4901842.8616],[378608.0727,4901842.8716],[378608.0627,4901852.6019],[378609.1027,4901852.1018],[378609.4927,4901850.8517],[378609.5687,4901842.8616]]]}"
2004,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[381694.316,4901831.9077],[381693.6507,4901843.8118],[381696.1558,4901843.9928],[381696.7961,4901832.0736],[381694.316,4901831.9077]]]}"
2064,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[376893.6592,4901611.1322],[376895.0591,4901610.2321],[376896.5591,4901609.5321],[376898.9591,4901608.7321],[376900.8591,4901608.432],[376902.9591,4901608.3319],[376905.959,4901608.7318],[376906.359,4901606.9318],[376905.059,4901606.6319],[376903.059,4901606.4319],[376900.759,4901606.432],[376898.559,4901606.8321],[376896.259,4901607.5321],[376894.2591,4901608.3322],[376892.8591,4901609.3322],[376892.6591,4901609.3322],[376888.8592,4901612.6324],[376852.4594,4901654.3224],[376851.9594,4901654.7224],[376838.8588,4901669.7227],[376838.5588,4901670.2228],[376836.6589,4901672.2228],[376828.9591,4901681.433],[376821.8583,4901689.1333],[376809.2587,4901701.7336],[376791.8584,4901719.743],[376788.4584,4901723.4532],[376784.4586,4901728.4333],[376784.4586,4901728.6333],[376782.5586,4901731.6434],[376780.5587,4901735.5435],[376778.4588,4901741.8447],[376775.459,4901754.5251],[376774.459,4901759.0351],[376773.1591,4901766.2364],[376768.3594,4901794.938],[376767.6595,4901799.8382],[376766.7607,4901810.2385],[376766.2607,4901814.1385],[376766.0608,4901817.5386],[376766.161,4901837.34],[376768.2769,4901837.247],[376768.1607,4901817.4385],[376768.3607,4901814.2385],[376769.9595,4901797.4381],[376769.9295,4901796.6381],[376773.0592,4901778.0366],[376773.2592,4901777.8366],[376781.9591,4901774.4363],[376787.2591,4901771.9361],[376791.059,4901769.8359],[376789.659,4901769.9359],[376787.859,4901769.636],[376785.0591,4901771.2361],[376780.1592,4901773.3363],[376773.6593,4901775.8365],[376776.359,4901760.2352],[376779.7588,4901744.8347],[376780.7587,4901741.2347],[376781.7588,4901738.3346],[376783.9586,4901733.5333],[376786.7585,4901729.0333],[376789.6585,4901725.3331],[376825.2583,4901688.8331],[376845.8586,4901665.3326],[376887.2593,4901617.6324],[376892.2592,4901612.2323],[376892.5592,4901612.1323],[376893.6592,4901611.1322]]]}"
2065,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[381582.6025,4901825.14],[381582.0722,4901836.9062],[381584.1613,4901837.0512],[381584.6724,4901831.6071],[381584.9726,4901825.206],[381582.6025,4901825.14]]]}"
2067,2,Gravel,3,GRAVEL,"{""type"":""Polygon"",""coordinates"":[[[378715.7938,4901833.4937],[378715.6938,4901831.8937],[378712.5837,4901830.4337],[378707.8938,4901829.5927],[378707.8938,4901831.8028],[378715.7938,4901833.4937]]]}"
2071,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378174.6243,4901822.1787],[378170.9543,4901824.1688],[378172.8043,4901827.8687],[378176.6343,4901825.4087],[378174.6243,4901822.1787]]]}"
2072,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378998.8393,4901819.2978],[378989.6072,4901820.4085],[378980.9351,4901820.4322],[378980.9351,4901821.9892],[378998.0433,4901821.1758],[379007.7414,4901826.4324],[379011.7544,4901826.4075],[378998.8573,4901820.0568],[378998.8393,4901819.2978]]]}"
2080,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[381643.9989,4901804.6362],[381643.7159,4901807.7663],[381659.643,4901813.417],[381661.3351,4901810.735],[381652.875,4901807.8851],[381643.9989,4901804.6362]]]}"
2081,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[381637.9279,4901805.4853],[381620.4746,4901808.0256],[381620.8346,4901811.0956],[381637.7748,4901808.7853],[381637.9279,4901805.4853]]]}"
2145,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378174.9348,4901786.5275],[378158.9574,4901796.6117],[378160.0545,4901798.4868],[378174.1847,4901789.7976],[378173.9547,4901789.2776],[378175.8967,4901788.1215],[378174.9348,4901786.5275]]]}"
2149,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[381390.6468,4901738.6576],[381388.3467,4901739.0777],[381386.8266,4901739.6377],[381384.9766,4901740.9779],[381383.6565,4901742.4779],[381382.6164,4901744.648],[381381.6862,4901754.0481],[381379.896,4901794.0188],[381381.286,4901794.1187],[381382.2955,4901775.4985],[381383.0761,4901756.9782],[381389.7962,4901757.318],[381389.8422,4901756.408],[381383.1161,4901756.0781],[381383.2162,4901753.6581],[381384.0865,4901745.0279],[381384.7165,4901743.5578],[381386.2165,4901741.9678],[381388.3166,4901740.6977],[381390.4367,4901740.2877],[381402.2079,4901741.1073],[381445.5694,4901743.4371],[381450.669,4901762.8772],[381453.6789,4901768.8772],[381456.4788,4901773.3171],[381461.0887,4901778.2171],[381465.8387,4901782.077],[381472.3687,4901785.0378],[381477.8998,4901786.4777],[381481.4198,4901786.9675],[381484.5298,4901787.0975],[381483.7899,4901785.4975],[381478.7799,4901785.2776],[381473.6798,4901783.9878],[381467.4287,4901781.2779],[381464.1887,4901779.077],[381459.9688,4901775.167],[381456.5588,4901770.6571],[381453.9389,4901766.3871],[381452.1991,4901762.5671],[381449.8193,4901754.137],[381447.2895,4901743.6369],[381450.1955,4901743.5569],[381449.6895,4901742.4769],[381448.0896,4901740.7369],[381445.9095,4901739.527],[381445.2795,4901739.316],[381445.3495,4901741.987],[381405.0879,4901739.7872],[381390.6468,4901738.6576]]]}"
2152,2,Gravel,3,GRAVEL,"{""type"":""Polygon"",""coordinates"":[[[378595.232,4901782.0544],[378595.402,4901775.9693],[378592.6931,4901775.9893],[378592.464,4901782.1494],[378595.232,4901782.0544]]]}"
2283,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378657.7311,4901660.2959],[378656.6411,4901660.3958],[378650.0012,4901663.556],[378644.3712,4901663.3961],[378642.2312,4901662.6962],[378626.9512,4901662.1356],[378622.6811,4901661.7657],[378621.3914,4901700.5868],[378621.5914,4901703.9868],[378622.4924,4901705.9879],[378623.1214,4901692.6367],[378623.3008,4901680.3766],[378624.1013,4901663.1456],[378631.7213,4901663.3654],[378645.9213,4901664.5861],[378649.9312,4901664.636],[378650.8312,4901664.466],[378655.8312,4901662.1359],[378656.8212,4901661.8759],[378661.1312,4901661.7768],[378677.1922,4901661.9964],[378677.1921,4901660.4164],[378657.7311,4901660.2959]]]}"
1053,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378122.6818,4901661.0709],[378122.2812,4901670.0111],[378123.2212,4901671.1101],[378123.1324,4901674.8711],[378125.0234,4901674.8711],[378125.0233,4901672.2751],[378129.0504,4901674.1811],[378129.0724,4901674.8711],[378129.6815,4901674.8711],[378129.6816,4901677.9452],[378130.6406,4901678.6291],[378130.5345,4901673.7581],[378125.9773,4901671.8521],[378123.6452,4901669.6281],[378123.7518,4901661.0719],[378122.6818,4901661.0709]]]}"
1055,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378086.0891,4901659.8703],[378084.5017,4901672.9945],[378084.5019,4901677.6326],[378085.4799,4901677.6026],[378085.5808,4901673.3685],[378092.3569,4901673.7034],[378092.3568,4901672.1625],[378085.8107,4901672.0425],[378087.0011,4901660.0683],[378086.0891,4901659.8703]]]}"
1057,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378171.4736,4901662.2055],[378171.613,4901672.6736],[378172.3731,4901672.6736],[378172.3515,4901662.2294],[378171.4736,4901662.2055]]]}"
1058,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[379718.5622,4901647.1883],[379710.8381,4901651.0709],[379712.8082,4901655.1109],[379719.0083,4901652.3103],[379727.2157,4901670.4025],[379729.5397,4901669.2826],[379728.1957,4901666.5406],[379727.2387,4901667.0515],[379719.8273,4901652.0593],[379719.5383,4901652.2003],[379717.7182,4901648.4602],[379718.8982,4901647.8803],[379718.5622,4901647.1883]],[[379716.9082,4901649.5402],[379717.6982,4901651.1202],[379714.0482,4901652.961],[379713.2882,4901651.451],[379716.9082,4901649.5402]]]}"
1059,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378571.1999,4901651.8848],[378570.8401,4901659.5848],[378579.4901,4901659.8846],[378579.2085,4901668.6447],[378591.5705,4901669.1053],[378591.5905,4901667.8854],[378581.0105,4901667.3946],[378581.7999,4901652.1686],[378580.1899,4901652.1256],[378579.9801,4901658.7646],[378572.2701,4901658.7847],[378572.5309,4901651.9197],[378571.1999,4901651.8848]]]}"
1060,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378616.7704,4901614.7738],[378614.9814,4901668.1578],[378616.6014,4901668.1858],[378616.6914,4901666.7858],[378618.2905,4901616.4837],[378618.2624,4901614.9737],[378616.7704,4901614.7738]]]}"
1115,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378500.8889,4901605.8811],[378499.4889,4901606.6811],[378499.3889,4901607.0811],[378497.9886,4901620.2822],[378495.4891,4901634.4824],[378492.4886,4901647.0825],[378490.7889,4901653.1825],[378491.689,4901654.5826],[378494.4895,4901644.6824],[378497.289,4901632.3823],[378499.4885,4901619.1821],[378500.8889,4901605.8811]]]}"
1116,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378165.3714,4901640.9101],[378165.3011,4901653.5723],[378166.272,4901653.5723],[378166.5554,4901640.9711],[378165.3714,4901640.9101]]]}"
1117,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378111.3001,4901629.6755],[378110.9201,4901651.9578],[378111.7931,4901651.9919],[378112.1931,4901629.7945],[378111.3001,4901629.6755]]]}"
1120,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[379551.375,4901626.4171],[379550.2549,4901626.418],[379550.0951,4901633.647],[379550.1652,4901647.0178],[379550.8252,4901647.3678],[379551.2552,4901647.4008],[379551.475,4901632.377],[379551.375,4901626.4171]]]}"
1122,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378484.2876,4901576.6801],[378483.0888,4901603.8813],[378482.789,4901607.9814],[378481.3885,4901620.1815],[378478.5892,4901634.7817],[378475.8886,4901645.7819],[378477.3886,4901645.1818],[378477.4886,4901644.8818],[378481.0889,4901629.1816],[378483.0884,4901617.5814],[378484.2889,4901605.2813],[378484.9883,4901594.2802],[378485.5876,4901577.6801],[378484.2876,4901576.6801]]]}"
1125,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[377019.6592,4901626.8318],[377018.0032,4901628.6528],[377024.7594,4901635.1317],[377026.6263,4901633.1618],[377019.6592,4901626.8318]]]}"
1128,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378171.354,4901631.0669],[378171.314,4901631.3889],[378177.6821,4901631.6728],[378177.6281,4901632.3099],[378190.9833,4901632.4107],[378191.0043,4901631.2866],[378171.354,4901631.0669]]]}"
