NAME,ACTIVITIES,TYPE,MAP_LABEL,ACCESSIBLE,GeoJSON
Butternut Creek Trail,"WALKING, BICYCLING",Park Trail,Butternut Creek Trail,N,"{""type"":""LineString"",""coordinates"":[[385317.6612,4902986.5013],[385328.5507,4902985.2167],[385357.2599,4902988.7736],[385359.0711,4902989.0752],[385360.9071,4902989.0599],[385362.713,4902988.7281],[385364.4346,4902988.0898],[385366.0203,4902987.1642],[385367.4225,4902985.9788],[385374.0282,4902978.611],[385374.8452,4902976.6295],[385375.3606,4902974.549],[385375.5629,4902972.4152],[385375.4478,4902970.2749],[385375.0178,4902968.1751],[385374.2822,4902966.1619],[385376.5688,4902930.5929],[385378.3473,4902919.4141],[385378.8554,4902906.9649],[385378.8201,4902905.8393],[385378.6123,4902904.7324],[385378.2369,4902903.6706],[385377.7027,4902902.6791],[385377.0225,4902901.7815],[385376.2124,4902900.9991],[385375.2917,4902900.3505],[385374.2822,4902899.8511],[385358.2231,4902892.7964],[385331.8706,4902883.9064],[385325.8951,4902880.9744],[385320.2818,4902877.3977],[385318.1573,4902875.5242],[385315.8169,4902873.9285],[385313.2968,4902872.6351],[385309.1079,4902870.1192],[385305.2767,4902867.0862],[385301.8668,4902863.5864],[385299.6056,4902861.6764],[385297.1043,4902860.0939],[385292.3359,4902855.9844],[385287.8968,4902851.5214],[385287.1365,4902850.3033],[385286.1899,4902849.2237],[385285.0815,4902848.311],[385283.8405,4902847.5889],[385282.4992,4902847.0763],[385277.8501,4902842.6575],[385273.768,4902837.7101],[385268.0357,4902829.9329],[385261.7263,4902822.6162],[385254.8767,4902815.8025],[385246.5293,4902807.0258],[385238.6379,4902797.8368],[385231.2229,4902788.2594],[385220.2691,4902771.1143],[385215.8208,4902762.5347],[385212.0141,4902753.6518],[385209.8611,4902749.5932],[385207.1948,4902745.8517],[385204.0612,4902742.492],[385200.5143,4902739.5718],[385196.6153,4902737.1418],[385192.6465,4902734.7197],[385188.9664,4902731.8779],[385185.6193,4902728.6507],[385182.6453,4902725.0767],[385179.5703,4902722.0455],[385176.1232,4902719.4452],[385172.3639,4902717.3213],[385168.3578,4902715.7105],[385161.8912,4902712.6237],[385155.7338,4902708.9588],[385149.9372,4902704.7466],[385144.5497,4902700.0222],[385139.6165,4902694.8252],[385135.1789,4902689.1992],[385131.2716,4902683.9589],[385126.9901,4902679.0197],[385122.3575,4902674.4081],[385117.3989,4902670.1491],[385113.6482,4902667.4333],[385110.2953,4902664.2394],[385107.4006,4902660.625],[385105.0164,4902656.6553],[385078.7432,4902617.8409],[385072.8816,4902611.8195],[385066.6802,4902606.1485],[385060.1601,4902600.8472],[385053.3432,4902595.9333],[385031.7531,4902583.0746],[385024.806,4902579.1777],[385018.1551,4902574.7943],[385011.8346,4902569.9466],[385005.8768,4902564.6595],[384994.1293,4902557.6745],[384989.632,4902555.2826],[384985.3855,4902552.4693],[384981.4293,4902549.2608],[384958.8867,4902531.0045],[384953.0128,4902525.4483],[384947.4567,4902519.5744],[384940.6304,4902509.8907],[384935.4398,4902500.4836],[384929.8354,4902491.3169],[384925.2039,4902485.4084],[384920.0569,4902479.943],[384914.4366,4902474.9656],[384912.4646,4902473.981],[384910.6904,4902472.673],[384909.1667,4902471.0802],[384907.9385,4902469.2499],[384907.0421,4902467.2362],[384906.5041,4902465.0987],[384906.3404,4902462.9006],[384904.2766,4902455.7568],[384904.1171,4902452.3984],[384904.3831,4902449.0468],[384905.0704,4902445.7555],[384908.8804,4902424.0861],[384913.9604,4902403.7661],[384920.1516,4902385.5098],[384922.0137,4902382.4138],[384924.3638,4902379.6699],[384927.1367,4902377.3541],[384930.2556,4902375.5307],[384933.6339,4902374.2504],[384937.1779,4902373.5486],[384940.7892,4902373.4448],[384947.3034,4902373.3437],[384953.7763,4902372.6031],[384960.145,4902371.23],[384966.348,4902369.2379],[384968.8825,4902368.0677],[384971.2022,4902366.5146],[384973.2496,4902364.617],[384974.9742,4902362.4218],[384976.3333,4902359.9834],[384977.2933,4902357.362],[384977.8304,4902354.6226],[384977.9313,4902351.8328],[384977.5936,4902349.0617],[384976.8255,4902346.3778],[384975.3832,4902341.1196],[384973.434,4902336.0273],[384970.9966,4902331.15],[384968.0942,4902326.5341],[384948.7267,4902298.1178],[384946.7913,4902294.7346],[384945.353,4902291.112],[384944.4404,4902287.3227],[384942.6257,4902282.326],[384940.398,4902277.4992],[384937.7729,4902272.8765],[384924.9142,4902251.2864],[384922.8554,4902247.262],[384921.2629,4902243.0314],[384920.4748,4902239.4025],[384919.1296,4902235.9412],[384917.2604,4902232.7325],[384914.9129,4902229.8551],[384904.1179,4902216.6788],[384888.0841,4902200.1688],[384874.7491,4902185.2463],[384872.5615,4902182.5586],[384870.701,4902179.635],[384869.1928,4902176.515],[384867.6556,4902172.3766],[384865.7452,4902168.3966],[384863.4778,4902164.6087],[384861.624,4902161.1782],[384860.343,4902157.4954],[384859.6678,4902153.655],[384857.5674,4902148.0412],[384854.8021,4902142.7234],[384851.4128,4902137.7799],[384849.2559,4902135.182],[384847.5088,4902132.2926],[384846.2101,4902129.1758],[384845.3887,4902125.9007],[384845.0627,4902122.5399],[384843.9636,4902120.1438],[384842.5227,4902117.9361],[384840.1662,4902112.4331],[384838.4416,4902106.7005],[384837.3705,4902100.8107],[384836.9665,4902094.838],[384839.3477,4902076.4229],[384839.3257,4902072.6745],[384838.6961,4902068.9792],[384837.4756,4902065.4349],[384835.6965,4902062.1354],[384829.2065,4902053.3086],[384823.117,4902044.2008],[384817.4402,4902034.8303],[384817.1391,4902033.7351],[384816.6604,4902032.705],[384816.0174,4902031.7687],[384815.2278,4902030.9521],[384814.3136,4902030.2779],[384813.3002,4902029.7648],[384812.2157,4902029.4271],[384811.0902,4902029.2741],[384801.7483,4902026.2193],[384792.6666,4902022.4612],[384783.8977,4902018.0216],[384775.4929,4902012.9264],[384776.6479,4902011.2825],[384776.6519,4902011.2735],[384777.147,4902009.5805],[384777.147,4902009.5765],[384776.5729,4902007.2895],[384776.5709,4902007.2845],[384774.201,4902002.3807],[384774.193,4902002.3627],[384770.4959,4901993.8618],[384770.4869,4901993.8418],[384768.248,4901989.0149],[384768.234,4901988.9889],[384765.529,4901984.6789],[384765.513,4901984.6559],[384762.054,4901980.109],[384762.049,4901980.103],[384757.261,4901974.086],[384757.254,4901974.077],[384754.663,4901970.7541],[384754.66,4901970.7491],[384751.8605,4901965.6961],[384749.304,4901962.4392],[384749.299,4901962.4322],[384746.432,4901955.9733],[384746.43,4901955.9693],[384744.9921,4901951.8494],[384744.9901,4901951.8454],[384744.1481,4901949.9794],[384744.1461,4901949.9754],[384742.562,4901947.9325],[384742.559,4901947.9295],[384736.1511,4901941.966],[384730.9331,4901937.6626],[384730.9291,4901937.6586],[384728.4691,4901934.5196],[384728.4631,4901934.5116],[384725.5482,4901931.0626],[384725.5442,4901931.0586],[384723.8411,4901929.1762],[384720.8282,4901926.9527],[384720.8242,4901926.9497],[384716.0762,4901925.1627],[384716.0662,4901925.1587],[384705.3673,4901920.2367],[384705.3633,4901920.2347],[384698.9462,4901916.0167],[384698.9432,4901916.0137],[384697.8313,4901914.5817],[384697.8263,4901914.5767],[384697.1073,4901913.7177],[384697.1053,4901913.7137],[384696.7213,4901911.7288],[384696.7203,4901911.7248],[384695.8653,4901907.2358],[384695.8853,4901903.5844],[384696.2553,4901901.942],[384696.2583,4901901.936],[384697.6658,4901899.98],[384700.9398,4901894.8506],[384705.2198,4901889.6807],[384706.2983,4901887.0043],[384706.3013,4901886.9953],[384706.8534,4901884.4884],[384706.8564,4901884.4714],[384707.8243,4901878.1915],[384707.8263,4901878.1805],[384708.6794,4901874.5026],[384708.6814,4901874.4956],[384708.8604,4901872.7861],[384708.6724,4901871.5866],[384708.6674,4901871.5746],[384707.7823,4901870.3236],[384707.7733,4901870.3136],[384706.3803,4901869.2386],[384706.3673,4901869.2306],[384703.9124,4901868.0606],[384703.9074,4901868.0596],[384699.8249,4901867.3496],[384694.995,4901866.7946],[384687.0155,4901867.645],[384678.8515,4901868.7654],[384678.8485,4901868.7654],[384675.6456,4901868.4154],[384673.4315,4901867.7409],[384670.8565,4901866.0844],[384670.8465,4901866.0764],[384668.8956,4901864.0905],[384667.2006,4901860.9914],[384667.1986,4901860.9884],[384664.6596,4901854.9255],[384664.6586,4901854.9225],[384662.1847,4901846.4457],[384659.7647,4901837.7898],[384659.0972,4901832.4929]]}"
Butternut Creek Trail,"WALKING, BICYCLING",Park Trail,Butternut Creek Trail,N,"{""type"":""LineString"",""coordinates"":[[384545.1715,4903142.4396],[384542.1576,4903138.8085],[384542.1516,4903138.8025],[384539.1136,4903135.8045],[384539.1056,4903135.7975],[384535.6306,4903133.2764],[384535.6296,4903133.2754],[384532.4947,4903131.7204],[384528.5507,4903130.8353],[384528.5477,4903130.8353],[384524.9897,4903130.4103],[384524.9887,4903130.4103],[384520.2728,4903130.2452],[384520.2678,4903130.2452],[384517.3298,4903130.2102],[384517.3208,4903130.2092],[384514.4259,4903129.6962],[384514.4139,4903129.6932],[384511.8589,4903128.7271],[384511.8519,4903128.7231],[384508.557,4903127.0911],[384508.553,4903127.0891],[384506.792,4903125.8361],[384506.79,4903125.8351],[384504.301,4903123.587],[384504.299,4903123.585],[384501.465,4903120.751],[384501.463,4903120.749],[384496.0341,4903115.1649],[384492.4091,4903111.9249],[384489.8872,4903108.8879],[384489.8812,4903108.8809],[384487.3372,4903105.5989],[384487.3312,4903105.5909],[384484.8962,4903101.9028],[384484.8932,4903101.8978],[384483.3312,4903099.1088],[384483.3272,4903099.1018],[384479.7803,4903093.3868],[384479.7783,4903093.3828],[384477.8543,4903089.4147],[384474.7103,4903083.6967],[384474.7093,4903083.6947],[384471.9754,4903078.2926],[384471.9724,4903078.2886],[384467.7295,4903071.5016],[384467.7285,4903071.4996],[384462.9745,4903064.8556],[384459.4895,4903060.8405],[384456.6386,4903058.3935],[384456.6306,4903058.3875],[384452.6635,4903055.7434],[384452.6535,4903055.7364],[384447.1966,4903051.8773],[384447.1906,4903051.8723],[384443.1236,4903048.4353],[384439.5757,4903045.6213],[384439.5717,4903045.6183],[384437.5087,4903043.6103],[384433.5627,4903039.2002],[384433.5547,4903039.1902],[384430.1318,4903035.2041],[384430.1258,4903035.1961],[384428.0547,4903032.3582],[384428.0427,4903032.3412],[384426.3507,4903029.6032],[384426.3467,4903029.5962],[384424.1098,4903025.6771],[384424.1078,4903025.6741],[384421.6197,4903021.9921],[384421.6167,4903021.9871],[384418.8878,4903018.106],[384418.8798,4903018.095],[384416.0068,4903014.5491],[384416.0008,4903014.5441],[384411.7408,4903010.558],[384411.7368,4903010.554],[384402.8049,4903002.3819],[384402.8019,4903002.3799],[384391.7579,4902993.1657],[384386.3209,4902988.5187],[384386.3149,4902988.5127],[384383.879,4902985.6877],[384383.867,4902985.6737],[384381.0939,4902982.2876],[384381.0829,4902982.2736],[384378.711,4902979.2837],[384378.706,4902979.2777],[384376.5719,4902976.1516],[384376.5659,4902976.1386],[384375.1,4902971.9966],[384375.095,4902971.9846],[384371.9189,4902965.6075],[384371.9169,4902965.6035],[384367.4579,4902956.9665],[384367.4579,4902956.9645],[384364.6249,4902951.7155],[384364.6199,4902951.7075],[384362.6439,4902948.5375],[384362.6419,4902948.5355],[384360.3999,4902946.0485],[384360.3949,4902946.0445],[384357.7379,4902944.0464],[384355.7639,4902942.5524],[384355.7619,4902942.5514],[384354.6249,4902941.3105],[384354.6189,4902941.3035],[384351.0119,4902937.9064],[384344.0128,4902930.3873],[384344.0108,4902930.3853],[384337.1829,4902923.9872],[384337.1809,4902923.9852],[384330.7578,4902917.7212],[384330.6698,4902917.6402],[384330.5768,4902917.5652],[384322.1648,4902911.3381],[384322.1598,4902911.3341],[384317.4288,4902907.3021],[384317.4248,4902907.2991],[384312.3838,4902902.279],[384312.3808,4902902.275],[384307.2998,4902896.06],[384307.2948,4902896.054],[384302.8917,4902890.128],[384302.8897,4902890.126],[384299.9207,4902886.922],[384299.9197,4902886.922],[384297.3178,4902885.034],[384297.3138,4902885.031],[384294.0159,4902883.3418],[384294.0149,4902883.3418],[384291.6179,4902882.0928],[384291.6149,4902882.0908],[384290.1999,4902880.5908],[384290.1929,4902880.5828],[384289.1149,4902879.1268],[384289.1069,4902879.1138],[384288.3219,4902877.2648],[384288.3199,4902877.2588],[384287.457,4902874.8898],[384287.455,4902874.8838],[384286.435,4902871.1608],[384285.529,4902868.9228]]}"
Butternut Creek Trail,"WALKING, BICYCLING",Park Trail,Butternut Creek Trail,N,"{""type"":""LineString"",""coordinates"":[[385317.7372,4902985.2033],[385317.3892,4902984.9643],[385316.0592,4902983.7903],[385315.8712,4902983.6963],[385313.4312,4902982.8123],[385313.0863,4902982.7463],[385308.8242,4902982.1073],[385308.6522,4902982.1083],[385288.1852,4902979.8984],[385287.2671,4902979.8514],[385282.6932,4902979.6184],[385280.5081,4902979.6024],[385267.7081,4902978.2445],[385261.0511,4902977.5045],[385230.8161,4902973.5305],[385211.6251,4902971.4326],[385204.1391,4902970.9096],[385193.3101,4902970.5326],[385190.699,4902970.4326],[385190.67,4902970.4296],[385184.331,4902969.5887],[385184.257,4902969.5787],[385178.977,4902969.0827],[385176.253,4902968.8857],[385169.942,4902968.4286],[385165.718,4902968.1626],[385160.6189,4902967.6337],[385156.391,4902966.9747],[385154.4309,4902966.6407],[385147.6129,4902965.6307],[385147.6109,4902965.6297],[385142.106,4902964.7957],[385142.09,4902964.7947],[385137.404,4902965.0417],[385137.401,4902965.0417],[385133.0879,4902965.7218],[385133.0859,4902965.7218],[385126.8379,4902965.4618],[385126.8369,4902965.4618],[385120.3589,4902963.9128],[385120.3559,4902963.9118],[385113.6789,4902961.9718],[385113.6759,4902961.9718],[385107.0139,4902961.5117],[385107.0099,4902961.5117],[385098.5819,4902961.0268],[385098.5799,4902961.0268],[385088.7079,4902959.0668],[385088.7039,4902959.0668],[385079.8339,4902957.6528],[385079.8289,4902957.6518],[385070.2369,4902957.3879],[385070.2339,4902957.3879],[385065.3968,4902957.5329],[385065.3958,4902957.5329],[385061.5729,4902956.7489],[385061.5699,4902956.7479],[385056.8479,4902955.4289],[385056.8439,4902955.4269],[385049.6969,4902953.5629],[385049.6939,4902953.5629],[385042.1549,4902952.9428],[385023.9319,4902951.5429],[385023.9279,4902951.5429],[385000.4168,4902949.6829],[385000.4128,4902949.6829],[384964.4298,4902945.5879],[384945.077,4902943.1377],[384945.071,4902943.1377],[384926.504,4902941.2076],[384913.5621,4902941.0384],[384913.5571,4902941.0374],[384908.0951,4902940.3333],[384908.0941,4902940.3333],[384901.3691,4902939.3183],[384901.3681,4902939.3183],[384899.0161,4902938.8883],[384899.0111,4902938.8873],[384892.4462,4902937.2782],[384892.4422,4902937.2782],[384858.1503,4902933.5779],[384858.1463,4902933.5779],[384832.9894,4902930.8686],[384832.9864,4902930.8686],[384802.3705,4902927.5933],[384802.3635,4902927.5933],[384778.9925,4902926.0482],[384778.9825,4902926.0482],[384762.8796,4902925.234],[384762.8756,4902925.234],[384747.8676,4902923.4288],[384722.9367,4902920.4036],[384711.5307,4902918.6835],[384703.8417,4902917.6994],[384692.3418,4902916.4694],[384676.2328,4902914.8792],[384676.2308,4902914.8792],[384655.1058,4902912.609],[384655.1048,4902912.609],[384645.5058,4902912.4589],[384638.9568,4902911.8449],[384638.9548,4902911.8449],[384633.7088,4902910.6008],[384633.4438,4902910.2208]]}"
Butternut Creek Trail,"WALKING, BICYCLING",Park Trail,Butternut Creek Trail,N,"{""type"":""LineString"",""coordinates"":[[384276.9821,4902851.4877],[384277.0531,4902852.2237],[384277.2721,4902853.3697],[384277.3171,4902853.6747],[384277.3641,4902854.0887],[384277.6431,4902855.1647],[384277.8351,4902856.2677],[384281.131,4902862.0718],[384284.454,4902867.5688],[384284.997,4902868.5098],[384285.529,4902868.9228]]}"
Butternut Creek Trail,"WALKING, BICYCLING",Park Trail,Butternut Creek Trail,N,"{""type"":""LineString"",""coordinates"":[[384633.4438,4902910.2208],[384633.8718,4902909.1368],[384635.7659,4902894.1008],[384635.992,4902892.1327],[384637.4432,4902878.5817],[384637.8862,4902874.2877],[384638.0582,4902872.5547],[384638.6442,4902865.4096]]}"
Butternut Creek Trail,"WALKING, BICYCLING",Park Trail,Butternut Creek Trail,N,"{""type"":""LineString"",""coordinates"":[[385317.7372,4902985.2033],[385317.7262,4902985.3223],[385317.7142,4902985.5003],[385317.7032,4902985.6913],[385317.6962,4902985.8623],[385317.6922,4902986.0393],[385317.6922,4902986.2103],[385317.6932,4902986.3123],[385317.6842,4902986.3623],[385317.6612,4902986.5013],[385317.6392,4902986.6393],[385317.6192,4902986.7883],[385317.6042,4902986.9223],[385317.5902,4902987.0633],[385317.5792,4902987.2023],[385317.5712,4902987.3313],[385317.5652,4902987.4553],[385317.5612,4902987.5783],[385317.5582,4902987.7143],[385317.5592,4902987.8353],[385317.5782,4902989.3474],[385315.6818,4903003.6503]]}"
Butternut Creek Trail,"WALKING, BICYCLING",Park Trail,Butternut Creek Trail,N,"{""type"":""LineString"",""coordinates"":[[384633.4438,4902910.2208],[384632.9418,4902910.4058],[384632.0788,4902910.2138],[384622.6928,4902908.2707],[384622.6888,4902908.2697],[384617.3958,4902907.4696],[384612.4159,4902907.0196],[384612.4149,4902907.0196],[384603.6209,4902906.8595],[384603.6109,4902906.8595],[384586.8208,4902905.7044],[384586.8188,4902905.7044],[384552.1639,4902901.5701],[384536.4658,4902899.878],[384535.5719,4902899.725],[384533.1109,4902898.1809]]}"
Butternut Creek Trail,"WALKING, BICYCLING",Park Trail,Butternut Creek Trail,N,"{""type"":""LineString"",""coordinates"":[[384162.7201,4902712.5149],[384163.3072,4902713.2059],[384164.8822,4902715.0599],[384165.7452,4902716.0679],[384165.7392,4902716.1549],[384165.5972,4902716.5239],[384165.7732,4902717.4999],[384165.8302,4902719.9448],[384165.8302,4902719.9468],[384166.1442,4902722.3859],[384166.1462,4902722.3889],[384167.7052,4902724.1879],[384167.7062,4902724.1889],[384170.3092,4902727.0549],[384170.3132,4902727.0589],[384172.8812,4902729.5119],[384172.8822,4902729.5119],[384175.7101,4902731.6759],[384175.7131,4902731.6779],[384182.7311,4902736.617],[384186.771,4902739.312],[384186.772,4902739.313],[384188.29,4902741.007],[384188.292,4902741.009],[384190.536,4902744.781],[384190.536,4902744.782],[384194.216,4902753.321],[384194.216,4902753.323],[384195.846,4902757.092],[384197.135,4902759.806],[384197.137,4902759.809],[384198.344,4902761.888],[384198.348,4902761.895],[384199.704,4902764.125],[384199.708,4902764.13],[384201.1749,4902765.9401],[384201.1779,4902765.9441],[384203.2899,4902768.0811],[384203.2909,4902768.0821],[384206.591,4902771.1221],[384211.9118,4902775.1341],[384211.9198,4902775.1401],[384216.4698,4902778.1111],[384216.4718,4902778.1131],[384218.4048,4902779.5661],[384218.4078,4902779.5691],[384219.4607,4902780.7572],[384219.4607,4902780.7582],[384220.7047,4902782.6302],[384220.7067,4902782.6332],[384223.0148,4902786.9602],[384223.0178,4902786.9642],[384224.2798,4902788.8712],[384224.2818,4902788.8732],[384225.8647,4902790.7703],[384225.8667,4902790.7723],[384227.3947,4902792.2363],[384227.3957,4902792.2373],[384230.0147,4902794.4863],[384230.0167,4902794.4883],[384232.9037,4902796.4863],[384232.9077,4902796.4893],[384235.7486,4902798.2764],[384235.7526,4902798.2784],[384238.4076,4902800.6794],[384238.4126,4902800.6864],[384241.0575,4902804.5583],[384241.0625,4902804.5663],[384243.2725,4902808.5374],[384243.2785,4902808.5464],[384245.9915,4902813.0464],[384245.9925,4902813.0484],[384247.7664,4902815.9304],[384247.7674,4902815.9324],[384249.2944,4902817.6494],[384249.2984,4902817.6534],[384253.2704,4902821.5355],[384253.2724,4902821.5375],[384257.6293,4902825.2695],[384257.6323,4902825.2725],[384261.5993,4902828.8496],[384261.6033,4902828.8536],[384264.5492,4902831.5896],[384264.5542,4902831.5936],[384266.7002,4902833.6206],[384266.7022,4902833.6236],[384268.2592,4902836.3286],[384268.2622,4902836.3346],[384270.9681,4902842.0096],[384270.9741,4902842.0236],[384272.4002,4902845.7036],[384272.9342,4902847.0556],[384272.9692,4902847.1326],[384273.2741,4902847.8976],[384274.4761,4902849.6537],[384275.2201,4902850.3637],[384276.2051,4902851.1237],[384276.9821,4902851.4877]]}"
Butternut Creek Trail,"WALKING, BICYCLING",Park Trail,Butternut Creek Trail,N,"{""type"":""LineString"",""coordinates"":[[384537.5302,4902855.6158],[384538.7352,4902854.4448]]}"
Butternut Creek Trail,"WALKING, BICYCLING",Park Trail,Butternut Creek Trail,N,"{""type"":""LineString"",""coordinates"":[[384638.6442,4902865.4096],[384638.8813,4902865.1136],[384639.7593,4902864.0467],[384639.8423,4902863.8717],[384640.3103,4902863.2337]]}"
