POI_ID,POI_NAME,ADDRESS,POI_TYPE_C,POI_TYPE_D,DESCRIP,GeoJSON
1766,COLLINS BAY BOAT RAMP,4086 BATH RD,6,Boat Ramp,Boat Ramp,"{""type"":""Point"",""coordinates"":[371226.3548,4899717.5538]}"
1905,RIDEAUCREST LOT,,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381608.8376,4899542.3758]}"
1907,BYRON LOT,169 QUEEN ST,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381344.6129,4898867.5291]}"
1908,BARRACK LOT,63 BARRACK ST,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381704.7599,4898886.6154]}"
1909,CHOWN MEMORIAL GARAGE,197 BROCK ST,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381264.1293,4898666.1681]}"
1910,KING/QUEEN LOT,18 Queen St,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381804.7968,4898688.4182]}"
1911,MCKEE MEMORIAL LOT,,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381010.8891,4898872.9781]}"
1913,ANGLIN LOT,1 BAY ST,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381780.5911,4899116.9783]}"
3553,CURRIE-MACKENZIE BLDG,15 Valour Dr,14,Heritage Site,RMC,"{""type"":""Point"",""coordinates"":[382797.1504,4898489.6809]}"
2409,RMC MARINA,20 GENERAL CRERAR CRES,19,Marina,Marina,"{""type"":""Point"",""coordinates"":[382912.3889,4898370.7056]}"
2410,CFB YACHT CLUB,12 SICILY DR,19,Marina,Marina,"{""type"":""Point"",""coordinates"":[384095.8607,4898846.8954]}"
2431,FRONTENAC LOT,11 QUEEN ST,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381800.7259,4898785.1707]}"
3555,GIROUARD BLDG,3 General Crerar Cr,84,CFB,RMC,"{""type"":""Point"",""coordinates"":[382747.7694,4898623.0096]}"
1500,RIDEAU MARINA,48 LIMERIDGE DR,19,Marina,Marina,"{""type"":""Point"",""coordinates"":[382985.4236,4901126.6796]}"
3151,POST OFFICE (PETERS PHARMACY),640 KING ST W,69,Post Office,Post Office,"{""type"":""Point"",""coordinates"":[378783.2479,4897502.9718]}"
3554,FOUR POINTS SHERATON,285 King St E,89,Hotel / Motel,Parking Lot,"{""type"":""Point"",""coordinates"":[381650.3799,4898389.9476]}"
3559,KINGSTON CENTRAL WATER TOWER,27 Tower St,88,Municipal Government Facility,,"{""type"":""Point"",""coordinates"":[379685.0155,4899678.8237]}"
3557,RIDEOUT ROW/CDA,2 Carre Ridout Sq,14,Heritage Site,RMC,"{""type"":""Point"",""coordinates"":[382735.918,4898931.1471]}"
1165,INDIAN ROAD PARKETTE A,219 INDIAN RD,22,Park,Park,"{""type"":""Point"",""coordinates"":[378185.6802,4901426.2949]}"
1166,ALLEN POINT PARK,1180 ALLEN POINT DR,22,Park,Park,"{""type"":""Point"",""coordinates"":[386084.1716,4908212.614]}"
1167,BELLE ISLAND,348 BELLE PARK DR,22,Park,Park,"{""type"":""Point"",""coordinates"":[382431.4377,4900606.5787]}"
1653,MADOMA COMMUNITY CENTRE,1805 2 HWY,35,Tennis Court,Tennis Court,"{""type"":""Point"",""coordinates"":[390235.4294,4902190.6371]}"
1654,GRENADIER PARK TENNIS COURTS,41 GRENADIER DR,35,Tennis Court,Tennis Court,"{""type"":""Point"",""coordinates"":[383603.8008,4901171.9063]}"
904,ST. THOMAS ANGLICAN CHURCH,130 LAKEVIEW AVE,24,Place of Worship,Place of Worship,"{""type"":""Point"",""coordinates"":[374477.9524,4897430.4149]}"
1498,KINGSTON FRONTENAC LIBRARY - CALVIN PARK BRANCH,88 WRIGHT CRES,17,Library,Library,"{""type"":""Point"",""coordinates"":[378805.8334,4899506.1188]}"
1731,,21 QUEENSTON HTS,47,Multi-Use Court,Multi-Use Court,"{""type"":""Point"",""coordinates"":[384086.8446,4899126.5498]}"
1515,FIRE STATION 10,127 DAYS RD,11,Fire Station,Fire Station,"{""type"":""Point"",""coordinates"":[374606.255,4897416.6158]}"
1549,KINGSTON FAMILY Y - DAY CARE/S.A. PROGRAM,100 WRIGHT CRESCENT,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[378848.7218,4899632.4612]}"
797,KINGSTON LEARNING CENTRE,738 ARLINGTON PARK PL,10,Education Facility,Education Facility,"{""type"":""Point"",""coordinates"":[374403.6885,4900773.5023]}"
1551,BUILDING BLOCKS NURSERY SCHOOL,130 LAKEVIEW AVENUE,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[374477.9524,4897430.4149]}"
2013,NORMAN ROGERS AIRPORT TERMINAL,1060 LEN BIRCHALL WAY,88,Municipal Government Facility,Airport Terminal,"{""type"":""Point"",""coordinates"":[372381.0826,4897405.816]}"
816,LANCASTER DRIVE PUBLIC SCHOOL,1020 LANCASTER DR,10,Education Facility,Education Facility,"{""type"":""Point"",""coordinates"":[372554.7169,4901536.9506]}"
3560,LINC,16 BATH RD,61,Local Government,Settlement Services,"{""type"":""Point"",""coordinates"":[379233.969,4899707.8391]}"
3150,POST OFFICE (PHARMA PLUS DRUGMART #1529),1036 PRINCESS ST,69,Post Office,Post Office,"{""type"":""Point"",""coordinates"":[378976.9982,4899884.073]}"
84,CONFDERATION PARK COMMEMORATIVE PLAQUE 2,211 ONTARIO ST,46,Monument,Monument,"{""type"":""Point"",""coordinates"":[381801.3128,4898456.7537]}"
90,CONFDERATION PARK COMMEMORATIVE PLAQUE 1,211 ONTARIO ST,46,Monument,Monument,"{""type"":""Point"",""coordinates"":[381793.5461,4898445.3384]}"
817,ST. MARGUERITE BOURGEOYS CATHOLIC SCHOOL,355 WATERLOO DR,10,Education Facility,Education Facility,"{""type"":""Point"",""coordinates"":[376068.9426,4901180.8836]}"
3297,ARBOUR HEIGHTS SENIOR LIVING,564 TANNER DR,18,Long Term Care,,"{""type"":""Point"",""coordinates"":[375530.7185,4899642.1255]}"
806,ST. LAWRENCE COLLEGE,100 PORTSMOUTH AVE,70,Post-Secondary Education,Post-Secondary Education,"{""type"":""Point"",""coordinates"":[377987.5321,4897826.6588]}"
97,BUOY MONUMENT (NAVY MEMORIAL PARK),61 ONTARIO ST,46,Monument,Monument,"{""type"":""Point"",""coordinates"":[381476.4681,4897977.6305]}"
119,CONFEDERATION PARK (KINGSTON SINCE 1846) PLAQUE,211ONTARIO ST,46,Monument,Monument,"{""type"":""Point"",""coordinates"":[381788.7289,4898440.2391]}"
790,FRONTENAC SECONDARY SCHOOL,1789 BATH RD,10,Education Facility,Education Facility,"{""type"":""Point"",""coordinates"":[374114.5226,4899422.0117]}"
791,COLLINS BAY PUBLIC SCHOOL,4075 BATH RD,10,Education Facility,Education Facility,"{""type"":""Point"",""coordinates"":[371269.4946,4899879.7544]}"
792,ECOLE ELEMENTAIRE PUBLIQUE MADELEINE DE ROYBON,72 GILMOUR AV,10,Education Facility,Education Facility,"{""type"":""Point"",""coordinates"":[378160.6775,4899907.6294]}"
795,ELGINBURG PUBLIC SCHOOL,2100 UNITY RD,10,Education Facility,Education Facility,"{""type"":""Point"",""coordinates"":[377187.0726,4908497.935]}"
796,ARCHBISHOP O'SULLIVAN CATHOLIC SCHOOL,974 PEMBRIDGE CRES,10,Education Facility,Education Facility,"{""type"":""Point"",""coordinates"":[373479.244,4900806.9458]}"
847,FORT CATARAQUI HISTORIC SITE,388 ONTARIO ST,15,Historic Site,Historic Site,"{""type"":""Point"",""coordinates"":[381888.1539,4898889.843]}"
776,ROYAL MILITARY COLLEGE OF CANADA,5 GENERAL CRERAR CRES,70,Post-Secondary Education,Education Facility,"{""type"":""Point"",""coordinates"":[382765.2362,4898560.8478]}"
3231,RMC BOAT RAMP,General Crerar Cr,6,Boat Ramp,Boat Ramp,"{""type"":""Point"",""coordinates"":[382886.8388,4898359.8501]}"
913,BAY PARK FELLOWSHIP BAPTIST CHURCH,775 PROGRESS AVE,24,Place of Worship,Place of Worship,"{""type"":""Point"",""coordinates"":[374029.9986,4900512.9976]}"
378,HUDSON PARK BASEBALL FIELD,955 HUDSON DR,2,Ball Diamond,Ball Diamond,"{""type"":""Point"",""coordinates"":[373428.7938,4900226.2654]}"
3558,CAVALRY BLDG,10 Billy Bishop Rd,14,Heritage Site,RMC,"{""type"":""Point"",""coordinates"":[382688.5122,4899049.6616]}"
3561,FORT BRANT DORMITORY,,84,CFB,RMC,"{""type"":""Point"",""coordinates"":[382672.7103,4898613.1334]}"
3563,FORT HALDIMAND-CHAMPLAIN QUARTERS,22 Amiens Av,14,Heritage Site,RMC,"{""type"":""Point"",""coordinates"":[382636.1683,4898398.8198]}"
3564,FORT HALDIMAND-CHAMPLAIN QUARTERS SOUTH,24 Amiens Av,14,Heritage Site,RMC,"{""type"":""Point"",""coordinates"":[382623.3292,4898334.6245]}"
