PARK_ID,NAME,ADDRESS,OWNERSHIP,TYPE,DESCRIP,MAP_LABEL,GeoJSON
170,JARVIS ROAD OPEN SPACE,1502 JARVIS RD,MUNICIPAL,NEIGHBOURHOOD,Boat launch,Jarvis Road Open Space,"{""type"":""Polygon"",""coordinates"":[[[388257.224,4910536.3476],[388269.3789,4910537.4287],[388455.4344,4910553.9781],[388457.7147,4910528.4481],[388458.5259,4910519.3421],[388459.326,4910510.237],[388294.2371,4910495.5247],[388291.8982,4910495.3177],[388291.6522,4910496.2237],[388291.3671,4910497.2187],[388290.9771,4910498.1417],[388290.5371,4910499.1437],[388290.2401,4910500.1537],[388289.6281,4910500.9816],[388288.7081,4910501.3976],[388287.7602,4910501.7636],[388286.8532,4910502.1927],[388285.8432,4910502.2406],[388285.1992,4910501.4176],[388284.3102,4910500.8976],[388283.3013,4910500.6136],[388282.2473,4910500.5096],[388281.2393,4910500.6086],[388280.2273,4910500.6176],[388279.1733,4910500.8726],[388278.1923,4910501.3676],[388277.1993,4910501.5436],[388277.1963,4910502.5556],[388276.6363,4910503.4076],[388276.0273,4910504.2996],[388275.4733,4910505.3056],[388274.6223,4910505.8726],[388273.6143,4910505.6136],[388272.7223,4910505.0175],[388271.7003,4910504.7195],[388270.6603,4910504.6405],[388269.5984,4910504.6905],[388268.5275,4910504.8305],[388267.4875,4910505.0975],[388266.5835,4910505.6155],[388265.7715,4910506.2205],[388265.0535,4910506.9375],[388264.4314,4910507.8296],[388264.2894,4910508.8976],[388263.7694,4910509.7746],[388262.7464,4910509.8226],[388261.7594,4910510.1645],[388261.2644,4910511.0395],[388260.7314,4910511.9165],[388260.0694,4910512.7595],[388259.5134,4910513.7135],[388259.1504,4910514.6745],[388258.8644,4910515.6575],[388258.5414,4910516.6805],[388258.0674,4910517.7736],[388257.9244,4910518.8026],[388257.8824,4910519.8165],[388257.9184,4910520.8525],[388258.0183,4910521.8865],[388258.3243,4910522.9385],[388258.5523,4910523.9555],[388258.7053,4910525.0385],[388258.7402,4910526.0496],[388258.8202,4910527.2376],[388259.1522,4910528.3146],[388259.4442,4910529.3296],[388259.4801,4910530.3526],[388259.4801,4910531.4536],[388259.0251,4910532.3666],[388258.5441,4910533.2545],[388258.2211,4910534.2896],[388257.6881,4910535.1666],[388257.1961,4910536.1196],[388257.224,4910536.3476]]]}"
79,JOYCEVILLE P.S. PLAYGROUND,2903 JOYCEVILLE RD,PRIVATE,DISTRICT,Public school facilities,Joyceville P.S. Playground,"{""type"":""Polygon"",""coordinates"":[[[393690.0671,4912644.8249],[393692.3667,4912604.5072],[393696.6389,4912529.601],[393599.2753,4912524.0356],[393591.8834,4912652.4725],[393689.3129,4912658.0598],[393690.0671,4912644.8249]]]}"
186,MACALPINE PARK,1879 MACALPINE RD,MUNICIPAL,NEIGHBOURHOOD, ,MacAlpine Park,"{""type"":""Polygon"",""coordinates"":[[[400419.2193,4907404.6662],[400388.1792,4907397.4693],[400360.8507,4907391.1343],[400347.5627,4907438.0263],[400334.6613,4907483.5521],[400322.4654,4907526.5915],[400310.9357,4907567.2778],[400121.0738,4907490.2144],[400112.9408,4907508.6084],[400307.9014,4907587.987],[400322.7002,4907591.639],[400356.7376,4907600.0384],[400394.6231,4907609.3877],[400414.9237,4907614.3966],[400415.2593,4907604.8445],[400418.4334,4907439.6414],[400419.2193,4907404.6662]]]}"
136,RIVERWOOD PARK,1812 MACALPINE RD,MUNICIPAL,NEIGHBOURHOOD, ,Riverwood Park,"{""type"":""Polygon"",""coordinates"":[[[400549.237,4906909.373],[400547.6504,4906937.302],[400539.6748,4907077.7489],[400539.4437,4907081.804],[400525.8847,4907080.5782],[400491.8321,4907077.4989],[400479.8069,4907086.8552],[400481.5249,4907089.6731],[400482.9568,4907095.5871],[400482.5437,4907099.7091],[400481.0344,4907103.5672],[400478.5411,4907106.8752],[400552.8751,4907113.5976],[400554.6508,4907083.1796],[400554.7869,4907080.8576],[400555.1541,4907074.5746],[400556.3365,4907054.3156],[400557.5942,4907023.9016],[400561.2395,4906968.0318],[400563.8154,4906921.4728],[400565.0438,4906899.2619],[400564.9508,4906899.3569],[400562.3907,4906900.33],[400558.2435,4906902.4799],[400554.9153,4906903.862],[400553.4823,4906905.501],[400552.7142,4906907.4471],[400550.8191,4906908.727],[400549.237,4906909.373]]]}"
118,PIERSON PARK,1648 JOYCEVILLE RD,MUNICIPAL,NEIGHBOURHOOD,"Rental facilities, outdoor skating rink, fire station",Pierson Park,"{""type"":""Polygon"",""coordinates"":[[[393927.2134,4906324.719],[393928.8741,4906301.9255],[393936.3483,4906199.3292],[393883.5242,4906191.0061],[393851.276,4906190.6501],[393801.7328,4906190.1041],[393745.0997,4906177.7499],[393726.1117,4906450.3667],[393812.7491,4906456.4308],[393917.0853,4906463.7331],[393920.4143,4906463.9661],[393927.604,4906370.5691],[393923.892,4906370.305],[393927.2134,4906324.719]]]}"
124,ABERDEEN PARK (PORTSMOUTH),623 KING ST,MUNICIPAL,NEIGHBOURHOOD,"Picnic tables (2), barbeque areas (3), floral areas",Aberdeen Park,"{""type"":""Polygon"",""coordinates"":[[[378904.8884,4897535.3927],[378794.4428,4897530.1097],[378792.3773,4897570.3719],[378817.2959,4897571.3886],[378828.2341,4897578.5474],[378885.6614,4897593.1037],[378901.8718,4897591.4987],[378904.8884,4897535.3927]]]}"
185,PLACE D'ARMES WALK,KING ST,MUNICIPAL,NEIGHBOURHOOD,"Pathway, Trail",Place D'Armes Walk,"{""type"":""Polygon"",""coordinates"":[[[381834.2664,4899158.6168],[381834.4864,4899158.3728],[381834.6983,4899158.1208],[381834.9023,4899157.8628],[381835.0963,4899157.5968],[381835.2813,4899157.3258],[381835.4583,4899157.0478],[381835.6243,4899156.7638],[381835.7813,4899156.4748],[381835.9293,4899156.1808],[381836.0663,4899155.8818],[381836.2402,4899155.3698],[381836.3962,4899154.8519],[381836.5342,4899154.3289],[381836.6542,4899153.8009],[381836.7562,4899153.2699],[381836.8391,4899152.7349],[381836.9041,4899152.1979],[381836.9501,4899151.6589],[381836.9781,4899151.119],[381836.9871,4899150.578],[381836.9771,4899150.037],[381836.82,4899148.029],[381835.1358,4899138.147],[381834.1636,4899134.2881],[381833.8656,4899130.9738],[381833.6847,4899128.9615],[381833.4455,4899126.3002],[381831.9033,4899118.4123],[381831.0421,4899112.4513],[381830.878,4899108.4335],[381830.334,4899105.3885],[381829.8889,4899102.3285],[381829.5438,4899099.2545],[381829.2976,4899096.1716],[381828.8776,4899094.8196],[381829.0094,4899087.1987],[381827.7813,4899079.2618],[381826.9581,4899075.3258],[381826.6181,4899074.3998],[381825.3851,4899072.8238],[381824.9561,4899072.4788],[381824.5391,4899072.1178],[381824.1361,4899071.7418],[381823.7471,4899071.3518],[381823.3721,4899070.9468],[381823.0131,4899070.5288],[381822.6691,4899070.0988],[381822.3421,4899069.6548],[381822.0311,4899069.1997],[381821.547,4899067.5257],[381821.47,4899067.0279],[381821.41,4899066.5289],[381821.369,4899066.0269],[381821.345,4899065.5249],[381821.3389,4899065.0209],[381821.3509,4899064.5179],[381821.3809,4899064.0159],[381821.4279,4899063.5149],[381821.4939,4899063.0159],[381821.5769,4899062.5199],[381821.6778,4899062.0269],[381821.7958,4899061.5379],[381822.3108,4899059.0879],[381822.9167,4899056.6589],[381823.6137,4899054.2551],[381824.4006,4899051.8791],[381826.5806,4899052.7481],[381943.3218,4899099.1437],[381944.3488,4899098.3748],[381945.9737,4899096.8138],[381945.5525,4899092.2368],[381845.0191,4899052.6135],[381837.0032,4899046.6414],[381833.0477,4899029.5576],[381824.5261,4899035.4033],[381824.9732,4899037.2543],[381816.7685,4899043.845],[381817.1545,4899045.11],[381817.6865,4899046.066],[381818.1326,4899048.855],[381812.489,4899059.5437],[381812.202874083,4899060.38545105],[381811.994523344,4899061.24974432],[381811.865676223,4899062.12940976],[381811.817401616,4899063.01714984],[381811.8501,4899063.9056],[381822.5276,4899126.277],[381823.1177,4899129.09],[381801.2187,4899152.1893],[381797.1327,4899152.3092],[381792.619,4899157.989],[381796.93,4899158.5321],[381798.795,4899158.4607],[381800.2438,4899158.4052],[381813.6257,4899158.5284],[381823.4725,4899159.2005],[381828.4004,4899159.9117],[381832.2714,4899159.9738],[381833.0334,4899159.7108],[381834.2664,4899158.6168]]]}"
7,AUDEN PARK,585 ROOSEVELT DR,MUNICIPAL,DISTRICT,Walking trails,Auden Park,"{""type"":""Polygon"",""coordinates"":[[[373142.7966,4899026.0493],[373178.131,4899016.6258],[373182.0571,4899031.3478],[373185.9831,4899046.0698],[373189.9093,4899060.7917],[373193.7293,4899075.1157],[373196.9563,4899087.2147],[373200.7253,4899101.3477],[373212.2282,4899108.3395],[373222.8672,4899114.8064],[373233.2391,4899121.1113],[373243.879,4899127.5791],[373255.3828,4899134.572],[373270.3395,4899131.2578],[373284.3063,4899128.1626],[373292.2115,4899163.8665],[373333.8498,4899154.643],[373336.7777,4899153.995],[373336.4717,4899150.9899],[373335.9617,4899145.983],[373332.8935,4899115.839],[373346.5592,4899112.8128],[373346.2292,4899111.3248],[373340.3051,4899084.6038],[373340.3801,4899083.1318],[373341.2649,4899065.7149],[373342.1157,4899048.9759],[373342.9666,4899032.2369],[373388.8479,4899034.6283],[373389.0078,4899031.5853],[373343.1215,4899029.1928],[373343.6474,4899018.8459],[373337.5615,4899018.5289],[373292.1922,4899016.1634],[373294.0162,4898980.2823],[373290.9493,4898980.5983],[373289.1493,4899016.0045],[373270.8896,4899015.0527],[373252.6308,4899014.1009],[373234.3711,4899013.1491],[373205.6456,4899011.6515],[373176.3971,4899010.1269],[373177.345,4899013.6809],[373142.0116,4899023.1043],[373142.7966,4899026.0493]]]}"
209,ROCHDALE PARK,864 ROCHDALE CRES,MUNICIPAL,NEIGHBOURHOOD, ,Rochdale Park,"{""type"":""Polygon"",""coordinates"":[[[386186.0666,4906298.4759],[386155.8179,4906317.7849],[386134.0439,4906306.6457],[386106.9159,4906292.7695],[386127.7135,4906252.1115],[386118.2184,4906247.2544],[386097.4199,4906287.9125],[386070.292,4906274.0354],[386043.164,4906260.1572],[386016.036,4906246.28],[386000.0041,4906238.08],[385999.2092,4906263.066],[385998.1075,4906297.7072],[385997.3946,4906320.0954],[386177.056,4906325.812],[386187.3948,4906326.1411],[386187.8357,4906312.291],[386187.4806,4906305.315],[386186.0666,4906298.4759]]]}"
205,LOMBARDY PARK,485 BOXWOOD ST,MUNICIPAL,NEIGHBOURHOOD, ,Lombardy Park,"{""type"":""Polygon"",""coordinates"":[[[373170.7464,4899635.0685],[373182.5811,4899632.0654],[373188.7451,4899630.5022],[373194.4169,4899629.0632],[373216.0346,4899623.5778],[373217.5666,4899623.1898],[373229.9374,4899620.0507],[373229.7184,4899615.2976],[373230.3913,4899610.5866],[373231.9333,4899606.0846],[373197.7805,4899579.093],[373154.5892,4899590.0537],[373160.1285,4899637.7626],[373170.7464,4899635.0685]]]}"
