CYCLE_STATUS,CYCLE_TYPE,CONSTRUCTION_STATUS,CONSTRUCTION_TYPE,CONSTRUCTION_REASON,CYCLE_WIDTH,GeoJSON
Bike Lane,,Approved for Construction,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[383929.376,4902477.3729],[384042.4058,4902611.5004],[384138.4498,4902723.684]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,2009 Project,,"{""type"":""LineString"",""coordinates"":[[376492.0259,4901000.2496],[376620.2282,4901100.6365],[376646.7576,4901120.817],[376733.6017,4901186.1202],[376752.6485,4901202.446],[376763.7591,4901213.3298],[376777.3639,4901228.2951],[376788.021,4901242.807],[376798.4514,4901258.906],[376807.5213,4901274.5516],[376814.7772,4901290.6506],[376821.1261,4901305.8427],[376826.3413,4901321.4882],[376832.4635,4901351.4188],[376839.0391,4901409.4661],[376842.4403,4901484.7461],[376844.481,4901498.3509],[376847.6555,4901509.008],[376852.1905,4901522.1594],[376859.2196,4901534.4037],[376869.65,4901545.5143],[376889.377,4901563.2006]]}"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,2010 Project,,"{""type"":""LineString"",""coordinates"":[[375540.4288,4901496.8698],[375542.4739,4901475.7368],[375544.519,4901462.648],[375546.8368,4901451.7406],[375549.5637,4901440.9696],[375552.6996,4901432.1074],[375559.7893,4901417.1098],[375566.8791,4901404.1573],[375575.4687,4901391.6138],[375629.5964,4901320.8523],[375638.0496,4901310.2176],[375663.0002,4901274.7687],[375701.8577,4901223.2315]]}"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,2010 Project,,"{""type"":""LineString"",""coordinates"":[[375703.7923,4901240.0239],[375588.4876,4901389.2802],[375582.7613,4901397.0517],[375577.4439,4901404.5505],[375571.5812,4901414.2308],[375562.0373,4901432.9096],[375558.7651,4901441.7719],[375556.3133,4901454.0193],[375553.4558,4901472.1168],[375552.8208,4901490.0556],[375552.9795,4901501.8031]]}"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,2010 Project,,"{""type"":""LineString"",""coordinates"":[[375701.8577,4901223.2315],[375720.4667,4901199.4921],[375728.6472,4901189.8119],[375741.8724,4901173.9962],[375754.1431,4901160.2257],[375766.5503,4901144.5463],[375774.7308,4901132.5482],[375786.3198,4901115.2328],[375795.0457,4901100.3715],[375801.9992,4901085.7829],[375812.0885,4901060.1506],[375816.5601,4901047.7351],[375822.7513,4901026.9388]]}"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,2010 Project,,"{""type"":""LineString"",""coordinates"":[[375835.1226,4901023.7126],[375833.1167,4901033.0915],[375827.663,4901051.4977],[375820.7096,4901070.3129],[375809.9385,4901093.2184],[375798.8948,4901112.8516],[375783.4882,4901135.8934],[375761.6735,4901165.2069],[375717.3938,4901222.0031]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,2012 Project,,"{""type"":""LineString"",""coordinates"":[[373370.5447,4897482.9877],[373377.371,4897494.894],[373386.4198,4897515.6903],[373391.6585,4897531.7241],[373396.5128,4897554.0289],[373398.5259,4897572.722],[373399.101,4897587.8202],[373396.5128,4897640.0168],[373394.6435,4897678.697]]}"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,2010 Project,,"{""type"":""LineString"",""coordinates"":[[375828.8363,4900990.3215],[375840.1076,4900885.5463],[375846.6164,4900815.0612]]}"
Bike Lane,Diamond Symbol,Constructed,Lane Widening for Cycling Routes,2010 Project,,"{""type"":""LineString"",""coordinates"":[[375861.3881,4900814.6813],[375856.1494,4900864.8464],[375845.1393,4900950.3784],[375840.4331,4900991.6879]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[375846.743,4900770.4249],[375851.3876,4900721.3461],[375856.4405,4900684.4551],[375860.9126,4900666.101],[375871.8472,4900633.4632],[375881.1148,4900611.7835]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[375896.8468,4900625.6929],[375885.5305,4900655.8245],[375880.4389,4900678.166],[375877.8989,4900699.5973]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[375896.2234,4900584.4974],[375904.8236,4900572.2415],[375911.6777,4900563.7258],[375921.855,4900553.3407],[375933.2785,4900544.2019],[375949.6869,4900533.1938],[375975.8571,4900516.9932],[375997.6656,4900503.4926],[376033.2701,4900479.6634]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,2012 Project,,"{""type"":""LineString"",""coordinates"":[[373394.6435,4897678.697],[373391.9114,4897733.1225],[373383.5714,4897894.17],[373376.3818,4898026.4591],[373369.9111,4898154.0031],[373363.4405,4898288.0176],[373360.8522,4898319.652],[373358.9829,4898330.005],[373355.2531,4898349.8377],[373350.8325,4898365.1396]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[376038.8264,4900487.1247],[375996.4194,4900515.5393],[375978.1418,4900528.6244],[375957.9949,4900544.825],[375947.1944,4900555.6254],[375931.9689,4900571.8576],[375915.9351,4900593.4477]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[376033.2701,4900479.6634],[376104.4237,4900431.2129],[376198.3042,4900366.8258],[376222.3975,4900350.4175],[376235.2749,4900339.8247],[376247.7369,4900328.6089],[376262.276,4900312.616],[376274.5303,4900297.6615],[376284.2922,4900284.3687],[376295.3003,4900264.8449],[376305.4776,4900241.167],[376314.8242,4900208.5581],[376319.1779,4900186.1614]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[376328.5457,4900196.7704],[376324.1667,4900215.4297],[376313.574,4900247.8309],[376299.8657,4900276.0782],[376280.3419,4900305.3639],[376252.51,4900336.3113],[376234.8555,4900351.6811],[376214.7086,4900366.8433],[376038.8264,4900487.1247]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[376319.1779,4900186.1614],[376321.8162,4900165.3824],[376324.9317,4900103.6953],[376326.801,4900021.8614],[376324.5163,4899969.5209],[376323.8932,4899913.8572],[376324.7357,4899882.6035]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[376342.4783,4899885.7376],[376339.8132,4899958.7024],[376336.6977,4900014.3661],[376335.0361,4900055.4908],[376331.9206,4900160.1718],[376331.0483,4900176.7269]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[376325.8095,4899851.765],[376327.1435,4899775.7184],[376327.7666,4899734.5937]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[376343.1364,4899735.2168],[376343.3441,4899763.6717],[376344.3826,4899794.8268],[376343.242,4899851.3693]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[376327.7666,4899734.5937],[376328.6583,4899621.5926]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[376345.9642,4899622.0569],[376343.1364,4899735.2168]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[376334.2328,4899470.0641],[376337.7253,4899441.1715]]}"
