CYCLE_STATUS,CYCLE_TYPE,CONSTRUCTION_STATUS,CONSTRUCTION_TYPE,CONSTRUCTION_REASON,CYCLE_WIDTH,GeoJSON
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380350.2801,4901435.3973],[380175.3373,4901426.666]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380156.7635,4901425.9516],[380033.1764,4901419.7604]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380014.047,4901419.046],[379955.3093,4901416.0297]]}"
Route,,Approved for Construction,Cycling Lanes,2017 Project,,"{""type"":""LineString"",""coordinates"":[[380554.7532,4898273.911],[380554.8631,4898390.9519]]}"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,,,"{""type"":""LineString"",""coordinates"":[[379865.9064,4901402.7873],[379933.6399,4901405.9623]]}"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,,,"{""type"":""LineString"",""coordinates"":[[379865.2979,4901411.5689],[379932.6345,4901415.0084]]}"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,2017 Project,,"{""type"":""LineString"",""coordinates"":[[380550.6562,4898392.8172],[380550.6099,4898481.1121]]}"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,2017 Project,,"{""type"":""LineString"",""coordinates"":[[380558.554,4898392.6981],[380558.6387,4898481.1452]]}"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,,,"{""type"":""LineString"",""coordinates"":[[380550.665,4898499.4943],[380550.4004,4898579.3457]]}"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,,,"{""type"":""LineString"",""coordinates"":[[380558.8953,4898498.1119],[380559.2684,4898573.4177]]}"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,,,"{""type"":""LineString"",""coordinates"":[[380550.4004,4898579.3457],[380550.6782,4898685.8989]]}"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,,,"{""type"":""LineString"",""coordinates"":[[380559.1074,4898584.8874],[380559.2507,4898685.383]]}"
Bike Lane,,Exists,,,,"{""type"":""LineString"",""coordinates"":[[380550.665,4898705.5368],[380550.5151,4898791.2249]]}"
Bike Lane,,Exists,,,,"{""type"":""LineString"",""coordinates"":[[380559.4661,4898702.1253],[380559.2633,4898786.8291]]}"
Bike Lane,,Approved for Construction,Cycling Lanes,2017 Project,,"{""type"":""LineString"",""coordinates"":[[380559.1977,4898993.0542],[380559.0619,4898891.7309]]}"
Bike Lane,,Approved for Construction,Cycling Lanes,2017 Project,,"{""type"":""LineString"",""coordinates"":[[380559.1901,4898875.0683],[380559.2456,4898803.0677]]}"
Bike Lane,,Approved for Construction,Cycling Lanes,2017 Project,,"{""type"":""LineString"",""coordinates"":[[380550.5038,4898811.4286],[380550.4879,4898884.5455]]}"
Bike Lane,,Approved for Construction,Cycling Lanes,2017 Project,,"{""type"":""LineString"",""coordinates"":[[380550.4879,4898884.5455],[380550.4279,4899001.5519]]}"
Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,2015 Project,1.5,"{""type"":""LineString"",""coordinates"":[[380072.2763,4899302.7351],[380152.5001,4899255.104]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[381302.8117,4901496.459],[381627.0934,4901514.7852]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380613.5923,4901447.945],[380738.6286,4901457.2242]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380846.7281,4901464.8949],[380858.324,4901467.2139],[380869.3402,4901471.6588],[380878.0372,4901476.8767],[380885.1881,4901483.6407],[380892.1457,4901491.7574],[380897.7505,4901502.1933],[380910.3665,4901532.9747]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380482.3957,4901437.8857],[380613.0647,4901447.8965]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380738.6286,4901457.2242],[380846.7281,4901464.8949]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378681.5322,4897576.2413],[378679.0157,4897618.9225]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378681.5322,4897576.2413],[378780.3227,4897581.5021]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378782.0025,4897524.4721],[378780.3227,4897581.5021]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379786.1553,4901403.6883],[379766.2077,4901785.6482]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378188.0098,4897493.0774],[378281.6902,4897498.068]]}"
Route - Signed + Sharrows,Sharrows,Exists,,,,"{""type"":""LineString"",""coordinates"":[[381904.1206,4898823.5715],[381925.7106,4898909.1379],[381926.71890419,4898913.27414152],[381928.091343341,4898917.30422613],[381929.817024094,4898921.19616615],[381931.882249335,4898924.91907039],[381934.270626905,4898928.4433893],[381936.963199715,4898931.74114958],[381939.938596211,4898934.78617617],[381943.1732,4898937.5543]]}"
Route - Signed + Sharrows,Sharrows,Exists,,,,"{""type"":""LineString"",""coordinates"":[[381943.1732,4898937.5543],[381949.694833061,4898940.70857539],[381956.256868438,4898943.77791451],[381962.8582,4898946.7618],[382011.4358,4898963.4306],[382021.99435981,4898966.67407488],[382032.69113106,4898969.42769058],[382043.5034,4898971.6856],[382084.7785,4898975.6543]]}"
Route - Signed + Sharrows,Sharrows,Exists,,,,"{""type"":""LineString"",""coordinates"":[[382086.1808,4898975.0723],[382329.9287,4898999.877],[382346.865033698,4899000.93186925],[382363.742152665,4899002.69680653],[382380.5303,4899005.1687]]}"
Route - Signed + Sharrows,Sharrows,Exists,,,,"{""type"":""LineString"",""coordinates"":[[382378.8767,4899013.1062],[382361.348,4899010.1296],[382336.2125,4899007.153],[382084.5271,4898983.6712]]}"
Route - Signed + Sharrows,Sharrows,Exists,,,,"{""type"":""LineString"",""coordinates"":[[382084.5271,4898983.6712],[382043.3843,4898979.2659],[382035.071539545,4898977.86023152],[382026.859357257,4898975.95288983],[382018.778,4898973.5509],[381951.7854,4898951.9609],[381945.494052243,4898949.24529066],[381939.490883955,4898945.94111736],[381933.8308,4898942.0786]]}"
Route - Signed + Sharrows,Sharrows,Exists,,,,"{""type"":""LineString"",""coordinates"":[[381933.8308,4898942.0786],[381930.656595893,4898939.87070281],[381927.698887271,4898937.38025277],[381924.982741093,4898934.62835676],[381922.531177048,4898931.63833745],[381920.364972458,4898928.43553565],[381918.502486184,4898925.04709551],[381916.959503038,4898921.5017345],[381915.7491,4898917.8295],[381908.4466,4898893.6995],[381894.4765,4898831.7869]]}"
Route,,Exists,,,,"{""type"":""LineString"",""coordinates"":[[377930.2587,4899509.8814],[377915.0187,4899564.0153],[377906.2874,4899592.4316]]}"
Route,,Proposed,Cycling Lanes,2013 Project,,"{""type"":""LineString"",""coordinates"":[[378786.1036,4897677.205],[378894.6889,4897713.2413]]}"
Route,,Proposed,Cycling Lanes,2013 Project,,"{""type"":""LineString"",""coordinates"":[[378906.7154,4897718.0015],[378983.9507,4897750.3682],[379000.3862,4897759.3461]]}"
Paved Shoulder,,Constructed,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[384999.4731,4905442.7855],[384990.2986,4905438.1884],[384980.4561,4905434.0609],[384965.8511,4905429.7746],[384944.1023,4905424.5358],[384858.6946,4905404.8508],[384785.6695,4905390.8808],[384744.0377,4905383.8336]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[373547.6481,4901956.0807],[373124.0109,4902053.5461]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[382902.7101,4904822.457],[382904.7876,4905002.1996],[382901.5647,4905092.4288],[382860.0386,4905745.0361],[382857.9037,4905848.2779],[382861.5013,4906049.229]]}"
Paved Shoulder,,Constructed,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[383900.1467,4905115.3559],[383853.9103,4905098.8815]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[373074.1291,4902065.1042],[372653.5476,4902162.9184]]}"
Paved Shoulder,,Constructed,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[383857.0001,4905090.1876],[383903.3039,4905106.9281]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[382891.9267,4904802.7713],[382893.5689,4904982.3915],[382891.793718016,4905057.08233336],[382889.027889107,4905131.74304625],[382885.2719,4905206.3605],[382853.3289,4905732.4742],[382849.74248083,4905778.05871763],[382848.757082003,4905823.77348154],[382850.3759,4905869.4702],[382853.9991,4906093.9046],[382856.063523225,4906126.56673517],[382861.142978257,4906158.89746441],[382869.193834019,4906190.61907594],[382880.146935946,4906221.45909013],[382893.9082,4906251.1526],[382915.7276,4906298.6273],[382933.1609,4906334.8873],[382940.302523012,4906353.08987351],[382946.172365279,4906371.7414529],[382950.7425,4906390.7533]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[372634.2697,4902167.0759],[372357.3627,4902235.2591]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380333.1624,4903199.6876],[380315.8353,4903414.4355],[380303.86971111,4903506.41734965],[380287.307961458,4903597.68368754],[380266.1917,4903688.005],[380235.6217,4903800.8779]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[383210.3593,4907272.399],[383217.064929307,4907315.28452152],[383219.392842026,4907358.62865888],[383217.3191,4907401.9857],[383193.9197,4907575.0452],[383190.515406108,4907627.35160196],[383191.281483981,4907679.76307043],[383196.213081263,4907731.94762993],[383205.278961102,4907783.57474224],[383218.4217,4907834.3174],[383247.7276,4907937.9472],[383422.3304,4908508.6268],[383451.3556,4908596.8344]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[383454.3609,4908637.4721],[383487.4621,4908723.6028]]}"
Paved Shoulder,,Constructed,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[382891.9267,4904802.7713],[382890.0217,4904662.2773],[382888.2754,4904550.1995],[382887.1642,4904529.8795],[382886.6879,4904520.8307],[382884.3066,4904497.3357],[382882.7191,4904487.0169],[382880.4966,4904475.7456],[382878.2741,4904464.1569],[382872.5591,4904442.0906],[382864.3041,4904415.738]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[382971.1403,4906423.8011],[383076.0313,4906801.589]]}"
Paved Shoulder,,Constructed,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[382874.997,4904414.6518],[382884.8483,4904447.0718],[382890.2218,4904468.7449],[382894.1624,4904492.209],[382897.3865,4904524.629],[382898.8194,4904549.7053],[382899.8941,4904603.9774],[382899.5359,4904676.1611],[382901.1479,4904692.2816],[382903.1182,4904716.2831],[382904.372,4904743.6878],[382905.0884,4904779.8692]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[372335.3434,4902239.9437],[371765.822,4902377.7881]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[382960.759,4906420.414],[382969.3489,4906450.0277],[383196.7816,4907251.5196],[383204.597031904,4907288.62525092],[383209.012894542,4907326.28704142],[383209.992745983,4907364.19416736],[383207.5285,4907402.0338],[383187.8649,4907556.256],[383181.52352907,4907610.45747176],[383180.220023589,4907665.01307091],[383183.965547566,4907719.45555043],[383192.728022074,4907773.31863209],[383206.4324,4907826.141],[383353.1728,4908313.4073],[383441.62,4908592.7719]]}"
Paved Shoulder,,Constructed,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[384746.8334,4905376.0312],[384807.3389,4905387.2654],[384860.3879,4905397.8487],[384924.285,4905412.7977],[384950.3465,4905419.6769],[384970.4548,4905424.9686],[384982.0965,4905428.0113],[384989.7695,4905430.3925],[384995.5903,4905432.7738],[385000.4851,4905435.8165],[385003.9247,4905438.33]]}"
Paved Shoulder,,Constructed,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[383016.4302,4904813.0492],[382997.6544,4904809.9151],[382984.3193,4904808.4863],[382962.8881,4904806.5813],[382927.6455,4904804.835],[382912.723,4904804.835]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[373547.296,4901942.7529],[372643.3576,4902151.2953],[372356.6139,4902221.183]]}"
Paved Shoulder,,Constructed,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[382917.537,4904794.6463],[382945.8373,4904795.5418],[382970.9135,4904797.8704],[383000.8259,4904801.4527],[383018.9166,4904803.9603]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[383122.5079,4906965.8566],[383157.8161,4907091.0121],[383204.1998,4907250.2855]]}"
Paved Shoulder,,Constructed,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[383903.3039,4905106.9281],[384119.902,4905181.8267],[384333.2888,4905257.2331],[384542.0455,4905329.7291],[384568.107,4905337.6666],[384590.5967,4905344.2812],[384615.0707,4905350.8958],[384639.8092,4905356.3197],[384671.8239,4905362.802],[384706.2198,4905368.6229],[384746.8334,4905376.0312]]}"
Paved Shoulder,,Constructed,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[383018.9166,4904803.9603],[383047.5752,4904810.2294],[383088.4136,4904823.663],[383155.2239,4904846.5899],[383332.9069,4904907.1311],[383429.0921,4904941.3422],[383701.7066,4905036.0946],[383857.0001,4905090.1876]]}"
Paved Shoulder,,Constructed,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[383853.9103,4905098.8815],[383732.5529,4905057.2072],[383474.4249,4904967.3545],[383213.4393,4904876.3906],[383108.0291,4904840.8305],[383067.389,4904827.3367],[383051.0378,4904822.098],[383034.2102,4904817.4942],[383016.4302,4904813.0492]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380320.5328,4903197.1253],[380301.9098,4903423.9988],[380288.655368481,4903528.64552358],[380268.378366559,4903632.16102919],[380241.171,4903734.0746],[380224.4342,4903796.0562]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[383087.1714,4906839.1875],[383115.5085,4906939.2216]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378584.8916,4897514.2005],[378557.9014,4897512.7602],[378381.5007,4897503.3788]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378281.6902,4897498.068],[378381.5007,4897503.3788]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378584.8916,4897514.2005],[378684.6621,4897519.4013]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378684.6621,4897519.4013],[378772.8025,4897523.992]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378276.7106,4897595.718],[378376.121,4897601.4488]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378376.121,4897601.4488],[378579.5619,4897613.1905]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378579.5619,4897613.1905],[378679.1824,4897618.9413]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378183.5348,4897590.2553],[378276.7106,4897595.718]]}"
Route,,Approved for Construction,Joint Reconstruction,2018 Project,,"{""type"":""LineString"",""coordinates"":[[380753.9842,4898963.8931],[380739.9839,4899048.3647]]}"
Route,,Approved for Construction,Cycling Lanes,2017 Project,,"{""type"":""LineString"",""coordinates"":[[380554.5713,4898274.8938],[380760.7249,4898252.0826]]}"
Route,,Approved for Construction,Cycling Lanes,2017 Project,,"{""type"":""LineString"",""coordinates"":[[380457.4292,4898268.9515],[380506.9626,4898280.4282],[380554.5713,4898274.8938]]}"
Route,,Proposed,,,,"{""type"":""LineString"",""coordinates"":[[380678.7026,4899459.6218],[380670.3025,4899537.9829]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[372335.091,4902226.9928],[371759.8585,4902364.0035]]}"
Paved Shoulder,,Constructed,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[384744.0377,4905383.8336],[384697.4043,4905377.2282],[384651.6842,4905369.6082],[384622.1567,4905363.8932],[384572.4678,4905350.8757],[384530.7165,4905337.2232],[384491.1876,4905323.4119],[384239.8859,4905235.623],[383984.6154,4905145.4528],[383900.1467,4905115.3559]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[383465.0658,4908634.226],[383497.3959,4908720.7106]]}"
Paved Shoulder,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[382863.1239,4906081.5962],[382866.0858,4906119.912],[382872.409726819,4906159.87612915],[382882.688264686,4906199.0101978],[382896.8189,4906236.9239],[382942.4969,4906335.2048],[382958.9658,4906382.2361],[382961.0863,4906390.5141]]}"
Route,,Approved for Construction,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[382457.4468,4903923.0705],[382446.3343,4903891.9554],[382393.2124,4903729.7655]]}"
Route,,Approved for Construction,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[382469.4359,4903916.0964],[382458.4821,4903886.7276],[382440.4727,4903833.6196],[382409.1814,4903734.8889]]}"
Route,,Approved for Construction,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[382393.2124,4903729.7655],[382382.5762,4903701.8254],[382375.442371758,4903681.60135092],[382366.645138751,4903662.04342776],[382356.245915449,4903643.28816659],[382344.3173,4903625.4665],[382275.2834,4903535.0443]]}"
Route,,Approved for Construction,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[382409.1814,4903734.8889],[382396.2697,4903693.4021],[382384.824082721,4903667.0396069],[382371.464779634,4903641.59334552],[382356.2646,4903617.202],[382286.9251,4903530.2818]]}"
Route,,Approved for Construction,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[385861.8112,4904796.6193],[385873.683022174,4904814.66163784],[385884.072682092,4904833.59629081],[385892.913515584,4904853.30176669],[385900.148796362,4904873.65162734],[385905.7321,4904894.5153],[385932.7196,4905034.7448]]}"
Route,,Approved for Construction,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[385932.7196,4905034.7448],[385951.7697,4905110.9449],[385970.2905,4905169.1534]]}"
Route,,Approved for Construction,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[385876.1626,4904792.4855],[385893.995370941,4904826.60369375],[385908.932354191,4904862.08531429],[385920.8703,4904898.6851],[385949.4454,4905039.4438]]}"
Route,,Proposed,,,,"{""type"":""LineString"",""coordinates"":[[380646.052,4899708.0253],[380629.5917,4899822.5569]]}"
Route,,Proposed,,,,"{""type"":""LineString"",""coordinates"":[[380660.2423,4899609.274],[380646.052,4899708.0253]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377913.9443,4899642.6585],[377910.293,4899677.1074],[377908.6434,4899741.2316]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377908.1035,4899766.8827],[377905.4666,4899882.9918],[377903.0235,4899953.7318]]}"
Route,,Proposed,,,,"{""type"":""LineString"",""coordinates"":[[380670.3025,4899537.9829],[380660.2423,4899609.274]]}"
Route,,Approved for Construction,Joint Reconstruction,2018 Project,,"{""type"":""LineString"",""coordinates"":[[380787.7231,4898745.8214],[380775.6841,4898832.8814]]}"
Route,,Approved for Construction,Joint Reconstruction,2018 Project,,"{""type"":""LineString"",""coordinates"":[[380763.8297,4898562.782],[380768.1711,4898647.2718]]}"
Route,,Approved for Construction,Joint Reconstruction,2018 Project,,"{""type"":""LineString"",""coordinates"":[[380763.8297,4898562.782],[380760.5482,4898469.7222]]}"
Route,,Approved for Construction,Joint Reconstruction,2018 Project,,"{""type"":""LineString"",""coordinates"":[[380757.2769,4898384.5024],[380760.7249,4898252.0826]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377091.6196,4897467.3927],[377182.0188,4897460.1504],[377276.6291,4897453.7011],[377363.8632,4897453.701],[377441.4046,4897456.1241],[377777.8776,4897474.5262]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377902.706,4899979.7668],[377899.5564,4900099.7578],[377898.4198,4900147.4072]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377897.1497,4900171.3785],[377893.0155,4900291.4804],[377890.3991,4900420.8458]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377890.3991,4900420.8458],[377888.3694,4900462.2975],[377886.7705,4900523.9278],[377883.282,4900632.0715]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377883.2599,4900743.1675],[377880.3495,4900842.1218]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377879.803,4900867.868],[377877.9739,4900902.9267],[377875.993,4900933.9081]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377875.1577,4900957.172],[377873.0939,4901031.4672]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377872.8156,4901050.742],[377871.0693,4901134.086]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377870.2756,4901158.216],[377867.4325,4901280.0251],[377865.9893,4901341.8901]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377865.2939,4901366.0804],[377863.2301,4901448.7894]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379188.6901,4897823.4014],[379287.5916,4897862.9302]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379308.8621,4897871.4085],[379397.921,4897907.4449]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379416.2998,4897915.2174],[379492.6587,4897945.5388]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379510.6194,4897952.5311],[379589.3596,4897984.2812]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379610.8134,4897993.2466],[379723.758,4898039.4511]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379723.758,4898039.4511],[379793.3751,4898067.7417]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380328.3478,4898242.2276],[380230.8751,4898220.1614]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380209.3973,4898214.7655],[380100.812,4898189.5242]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380078.0639,4898184.7335],[380041.1172,4898175.8986],[380028.8513,4898171.5572],[380013.9288,4898165.5247]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379991.1253,4898156.4924],[379923.4977,4898129.0286]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379905.0826,4898121.7261],[379853.2289,4898100.5393]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379830.5226,4898091.3955],[379802.8433,4898080.3514]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379802.8433,4898080.3514],[379730.8274,4898050.9142]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379711.7786,4898043.0942],[379611.4484,4898002.4541]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379810.8376,4898074.2505],[379839.3311,4898086.461]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379839.3311,4898086.461],[379886.7252,4898105.4606]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379905.2414,4898113.3123],[379988.4265,4898146.4912]]}"
Route,,Approved for Construction,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[385949.4454,4905039.4438],[385969.0246,4905127.2856],[385982.7829,4905176.4982]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[378188.0098,4897493.0774],[377777.8776,4897474.5262]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[377091.6196,4897467.1341],[377029.4061,4897472.0511]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380005.3563,4898153.3009],[380032.0263,4898164.096],[380078.8577,4898175.3672]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380098.272,4898179.8404],[380208.1273,4898205.3992]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380339.1468,4898241.485],[380457.7993,4898268.9344]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379592.1337,4897993.5432],[379542.9211,4897973.2232]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379448.5261,4897936.6487],[379407.4171,4897920.1444]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379407.4171,4897920.1444],[379299.1416,4897876.5287]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[379299.1416,4897876.5287],[379241.1005,4897853.1086]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380430.0943,4901784.4035],[380440.5304,4901735.0844],[380451.3032,4901678.0225],[380462.5328,4901602.5571]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380465.3904,4901579.9565],[380473.6454,4901455.2846]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380476.9293,4901419.9716],[380483.2963,4901354.4073]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380483.2963,4901354.4073],[380488.1777,4901321.9207],[380492.5541,4901279.6713]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380492.5541,4901279.6713],[380507.1971,4901126.3715]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380510.0298,4901095.9709],[380520.916,4900966.9295],[380535.0065,4900817.417],[380544.1082,4900715.1818]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380545.8016,4900694.2268],[380558.8262,4900561.0401],[380564.7176,4900498.5918]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[380564.7176,4900498.5918],[380572.9424,4900429.3784],[380580.3487,4900345.8894],[380589.6066,4900242.3699]]}"
Bike Lane,Diamond Symbol,Constructed,Joint Reconstruction,2011 Project,,"{""type"":""LineString"",""coordinates"":[[380589.6066,4900242.3699],[380599.5492,4900129.9452]]}"
Bike Lane,Diamond Symbol,Constructed,Joint Reconstruction,2011 Project,,"{""type"":""LineString"",""coordinates"":[[380599.5492,4900129.9452],[380607.6288,4900040.3966]]}"
